SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Average/ Percentage,Course Name ,Basic Course,Total_Ratings,Average_Rating
10,26,122,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,2,9,12,4.15 / 83.08,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,4.153846153846154
11,26,122,Your mentor does a necessary follow-up with an assigned task to you.,2,1,5,5,13,4.00 / 80.00,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,4.0
12,26,122,The teachers illustrate the concepts through examples and applications.,2,1,3,7,13,4.08 / 81.54,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,4.076923076923077
13,26,122,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,2,4,4,16,4.31 / 86.15,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,4.3076923076923075
14,26,122,Teachers are able to identify your weaknesses and help you to overcome them.,0,2,3,6,15,4.31 / 86.15,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,4.3076923076923075
15,26,122,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,4,7,14,4.31 / 86.15,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,4.3076923076923075
16,26,122,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,3,6,3,13,3.92 / 78.46,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,3.923076923076923
17,26,122,Teachers encourage you to participate in extracurricular activities.,0,2,5,5,14,4.19 / 83.85,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,4.1923076923076925
18,26,122,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",3,0,2,7,14,4.12 / 82.31,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,4.115384615384615
19,26,122,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,1,5,10,7,3.65 / 73.08,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,3.6538461538461537
20,26,122,The overall quality of the teaching-learning process in your institute is very good.,0,2,2,9,13,4.27 / 85.38,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,26,4.269230769230769
1,12,175,How much of the syllabus was covered in the class?,0,1,3,4,4,3.92 / 78.33,FYBSC,BACHELOR OF SCIENCE,12,3.9166666666666665
2,12,175,How well did the teachers prepare for the classes?,0,0,0,9,3,4.25 / 85.00,FYBSC,BACHELOR OF SCIENCE,12,4.25
3,12,175,How well were the teachers able to communicate?,0,0,0,4,8,4.67 / 93.33,FYBSC,BACHELOR OF SCIENCE,12,4.666666666666667
4,12,175,The teachers approach to teaching can best be described as,0,1,4,6,1,3.58 / 71.67,FYBSC,BACHELOR OF SCIENCE,12,3.5833333333333335
5,12,175,Fairness of the internal evaluation process by the teachers.,0,2,1,1,8,4.25 / 85.00,FYBSC,BACHELOR OF SCIENCE,12,4.25
6,12,175,Was your performance in assignments discussed with you?,0,2,3,4,3,3.67 / 73.33,FYBSC,BACHELOR OF SCIENCE,12,3.6666666666666665
7,12,175,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,5,1,5,3.83 / 76.67,FYBSC,BACHELOR OF SCIENCE,12,3.8333333333333335
8,12,175,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,6,2,3.58 / 71.67,FYBSC,BACHELOR OF SCIENCE,12,3.5833333333333335
9,12,175,The institution provides multiple opportunities to learn and grow.,0,1,3,5,3,3.83 / 76.67,FYBSC,BACHELOR OF SCIENCE,12,3.8333333333333335
10,12,175,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,1,4,6,4.25 / 85.00,FYBSC,BACHELOR OF SCIENCE,12,4.25
11,12,175,Your mentor does a necessary follow-up with an assigned task to you.,0,5,1,3,3,3.33 / 66.67,FYBSC,BACHELOR OF SCIENCE,12,3.3333333333333335
12,12,175,The teachers illustrate the concepts through examples and applications.,0,3,1,3,5,3.83 / 76.67,FYBSC,BACHELOR OF SCIENCE,12,3.8333333333333335
13,12,175,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,2,4,3,3.50 / 70.00,FYBSC,BACHELOR OF SCIENCE,12,3.5
14,12,175,Teachers are able to identify your weaknesses and help you to overcome them.,0,2,2,6,2,3.67 / 73.33,FYBSC,BACHELOR OF SCIENCE,12,3.6666666666666665
15,12,175,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,1,1,7,2,3.67 / 73.33,FYBSC,BACHELOR OF SCIENCE,12,3.6666666666666665
16,12,175,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,3,7,2,3.92 / 78.33,FYBSC,BACHELOR OF SCIENCE,12,3.9166666666666665
17,12,175,Teachers encourage you to participate in extracurricular activities.,0,0,2,6,4,4.17 / 83.33,FYBSC,BACHELOR OF SCIENCE,12,4.166666666666667
18,12,175,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,4,5,4.08 / 81.67,FYBSC,BACHELOR OF SCIENCE,12,4.083333333333333
19,12,175,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",6,1,1,3,1,2.33 / 46.67,FYBSC,BACHELOR OF SCIENCE,12,2.3333333333333335
20,12,175,The overall quality of the teaching-learning process in your institute is very good.,0,1,3,4,4,3.92 / 78.33,FYBSC,BACHELOR OF SCIENCE,12,3.9166666666666665
1,5,15,How much of the syllabus was covered in the class?,0,0,2,3,0,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.6
2,5,15,How well did the teachers prepare for the classes?,0,0,0,5,0,4.00 / 80.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,4.0
3,5,15,How well were the teachers able to communicate?,0,0,1,4,0,3.80 / 76.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.8
4,5,15,The teachers approach to teaching can best be described as,0,0,2,3,0,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.6
5,5,15,Fairness of the internal evaluation process by the teachers.,0,0,0,3,2,4.40 / 88.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,4.4
6,5,15,Was your performance in assignments discussed with you?,0,0,2,0,3,4.20 / 84.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,4.2
7,5,15,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,3,1,1,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.6
8,5,15,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,3,1,1,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.6
9,5,15,The institution provides multiple opportunities to learn and grow.,0,0,4,1,0,3.20 / 64.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.2
10,5,15,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,3,2,4.40 / 88.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,4.4
11,5,15,Your mentor does a necessary follow-up with an assigned task to you.,0,0,2,1,2,4.00 / 80.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,4.0
12,5,15,The teachers illustrate the concepts through examples and applications.,0,0,1,2,2,4.20 / 84.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,4.2
13,5,15,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,4,0,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.6
14,5,15,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,1,3,0,3.40 / 68.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.4
15,5,15,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,2,0,3.40 / 68.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.4
16,5,15,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,4,0,3.80 / 76.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.8
17,5,15,Teachers encourage you to participate in extracurricular activities.,0,0,0,5,0,4.00 / 80.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,4.0
18,5,15,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,3,2,0,3.40 / 68.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.4
19,5,15,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,1,3,1,0,3.00 / 60.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.0
20,5,15,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,2,0,3.40 / 68.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,5,3.4
1,7,20,How much of the syllabus was covered in the class?,0,3,1,2,1,3.14 / 62.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.142857142857143
2,7,20,How well did the teachers prepare for the classes?,0,2,2,2,1,3.29 / 65.71,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.2857142857142856
3,7,20,How well were the teachers able to communicate?,0,1,3,1,2,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.5714285714285716
4,7,20,The teachers approach to teaching can best be described as,0,2,3,1,1,3.14 / 62.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.142857142857143
5,7,20,Fairness of the internal evaluation process by the teachers.,0,0,0,4,3,4.43 / 88.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,4.428571428571429
6,7,20,Was your performance in assignments discussed with you?,1,0,4,0,2,3.29 / 65.71,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.2857142857142856
7,7,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,1,3,3.86 / 77.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.857142857142857
